Date,Open Price,Close Price,High Price,Low Price,Volume
17-May-2012,38.00,38.00,38.00,38.00,0
18-May-2012,42.05,38.23,45.00,38.00,580587712
21-May-2012,36.53,34.03,36.66,33.00,168309824
22-May-2012,32.61,31.00,33.59,30.94,102053824
23-May-2012,31.37,32.00,32.50,31.36,73721136
24-May-2012,32.95,33.03,33.21,31.77,50275880
25-May-2012,32.90,31.91,32.95,31.11,37189632
29-May-2012,31.48,28.84,31.69,28.65,78060800
30-May-2012,28.69,28.19,29.55,27.86,57267868
31-May-2012,28.55,29.60,29.67,26.83,111639200
01-Jun-2012,28.89,27.72,29.15,27.39,41855500
04-Jun-2012,27.20,26.90,27.65,26.44,35230288
05-Jun-2012,26.70,25.87,27.76,25.75,42473264
06-Jun-2012,26.07,26.81,27.17,25.52,61487020
07-Jun-2012,27.00,26.31,27.35,26.15,26167756
08-Jun-2012,26.55,27.10,27.76,26.44,38033420
11-Jun-2012,27.18,27.00,28.07,26.83,28225888
12-Jun-2012,27.48,27.40,27.77,26.96,15822414
13-Jun-2012,27.66,27.27,28.10,27.10,17118672
14-Jun-2012,27.65,28.29,28.32,27.38,16854124
15-Jun-2012,28.50,30.01,30.10,28.35,43563740
18-Jun-2012,29.95,31.41,32.08,29.41,42978208
19-Jun-2012,31.53,31.91,32.18,30.70,30848912
20-Jun-2012,31.92,31.60,31.93,31.15,15558921
21-Jun-2012,31.67,31.84,32.50,31.51,21875228
22-Jun-2012,32.41,33.05,33.45,32.06,74833976
25-Jun-2012,32.86,32.06,33.02,31.55,24352818
26-Jun-2012,32.69,33.10,33.44,32.50,24858612
27-Jun-2012,32.46,32.23,32.90,31.90,28599506
28-Jun-2012,31.96,31.36,32.19,30.90,17713292
29-Jun-2012,31.92,31.09,31.99,30.76,19526824
02-Jul-2012,31.25,30.77,31.73,30.55,14131476
03-Jul-2012,30.91,31.20,31.44,30.80,8765498
05-Jul-2012,31.32,31.47,31.62,31.02,10036688
06-Jul-2012,31.44,31.73,31.90,31.26,10949006
09-Jul-2012,32.10,32.17,32.88,31.99,17785180
10-Jul-2012,32.43,31.47,32.48,31.16,14276996
11-Jul-2012,31.48,30.97,31.56,30.55,13027752
12-Jul-2012,30.70,30.81,31.40,30.60,11306636
13-Jul-2012,31.04,30.72,31.07,30.56,8117346
16-Jul-2012,30.50,28.25,30.50,28.21,24672074
17-Jul-2012,28.48,28.09,28.59,27.15,30438552
18-Jul-2012,28.31,29.11,29.29,28.15,16841780
19-Jul-2012,29.41,29.00,29.50,28.63,13685031
20-Jul-2012,29.00,28.76,29.47,28.72,11869046
23-Jul-2012,28.12,28.75,29.00,28.01,12393864
24-Jul-2012,28.82,28.45,29.45,28.10,11539799
25-Jul-2012,28.39,29.34,29.49,28.08,17230154
26-Jul-2012,27.75,26.84,28.23,26.73,64597376
27-Jul-2012,23.19,23.70,24.54,22.28,123098336
30-Jul-2012,24.00,23.15,24.04,23.03,29285896
31-Jul-2012,23.37,21.71,23.37,21.61,56179320
01-Aug-2012,21.50,20.88,21.58,20.84,44604364
02-Aug-2012,20.77,20.04,20.84,19.82,56374436
03-Aug-2012,20.36,21.09,22.16,19.90,80646976
06-Aug-2012,21.39,21.92,22.15,21.30,27778038
07-Aug-2012,22.20,20.72,22.45,20.50,36782828
08-Aug-2012,20.71,20.72,21.15,20.22,29537376
09-Aug-2012,20.75,21.01,21.17,20.61,15618515
10-Aug-2012,21.41,21.81,21.82,21.13,25794672
13-Aug-2012,22.15,21.60,22.45,21.40,24972972
14-Aug-2012,21.41,20.38,21.60,20.25,39308632
15-Aug-2012,20.64,21.20,21.41,20.40,47860768
16-Aug-2012,20.44,19.87,20.48,19.69,157554944
17-Aug-2012,20.00,19.05,20.08,19.00,129293344
